date,gap
5/31/1992,-0.05974808
6/30/1992,-0.067497799
7/31/1992,-0.063266314
8/31/1992,-0.068239543
9/30/1992,-0.070451578
10/31/1992,-0.068984565
11/30/1992,-0.06478997
12/31/1992,-0.059728134
1/31/1993,-0.057415199
2/28/1993,-0.052433013
3/31/1993,-0.052842303
4/30/1993,-0.073054837
5/31/1993,-0.071616526
6/30/1993,-0.0765265
7/31/1993,-0.074181766
8/31/1993,-0.071854899
9/30/1993,-0.074936561
10/31/1993,-0.066362365
11/30/1993,-0.059665215
12/31/1993,-0.054796383
1/31/1994,-0.053464631
2/28/1994,-0.049532701
3/31/1994,-0.047363794
4/30/1994,-0.046072721
5/31/1994,-0.047371613
6/30/1994,-0.043518449
7/31/1994,-0.042255087
8/31/1994,-0.033376876
9/30/1994,-0.033840836
10/31/1994,-0.02676418
11/30/1994,-0.025576
12/31/1994,-0.017784727
1/31/1995,-0.015814581
2/28/1995,-0.012226033
3/31/1995,-0.020086887
4/30/1995,-0.028803568
5/31/1995,-0.032586184
6/30/1995,-0.033886546
7/31/1995,-0.033534854
8/31/1995,-0.021739321
9/30/1995,-0.027116086
10/31/1995,-0.030048941
11/30/1995,-0.029717245
12/31/1995,-0.031828962
1/31/1996,-0.041294086
2/29/1996,-0.028742415
3/31/1996,-0.032464539
4/30/1996,-0.026501407
5/31/1996,-0.022195117
6/30/1996,-0.021104147
7/31/1996,-0.019228023
8/31/1996,-0.015787738
9/30/1996,-0.016301501
10/31/1996,-0.022329164
11/30/1996,-0.013414832
12/31/1996,-0.006938648
1/31/1997,-0.020285952
2/28/1997,-0.018621497
3/31/1997,-0.008411117
4/30/1997,-0.015477832
5/31/1997,-0.011321222
6/30/1997,-0.012143018
7/31/1997,-0.014831653
8/31/1997,-0.004416958
9/30/1997,0.002323029
10/31/1997,0.002773197
11/30/1997,0.037785771
12/31/1997,0.042061604
1/31/1998,0.038373951
2/28/1998,0.037719586
3/31/1998,0.032471637
4/30/1998,0.031332135
5/31/1998,0.03673938
6/30/1998,0.029323931
7/31/1998,0.017215748
8/31/1998,0.033226256
9/30/1998,0.02780083
10/31/1998,0.02290438
11/30/1998,0.047966238
12/31/1998,0.053226478
1/31/1999,0.049189427
2/28/1999,0.047831814
3/31/1999,0.047041452
4/30/1999,0.054113337
5/31/1999,0.053300702
6/30/1999,0.051729355
7/31/1999,0.056886726
8/31/1999,0.058448303
9/30/1999,0.052114993
10/31/1999,0.058160702
11/30/1999,0.080903163
12/31/1999,0.08569983
1/31/2000,0.090757309
2/29/2000,0.092935588
3/31/2000,0.090546736
4/30/2000,0.100231491
5/31/2000,0.101563476
6/30/2000,0.102658943
7/31/2000,0.105634885
8/31/2000,0.106155187
9/30/2000,0.1061034
10/31/2000,0.106576927
11/30/2000,0.120119898
12/31/2000,0.10940298
1/31/2001,0.105348292
2/28/2001,0.096597346
3/31/2001,0.09782753
4/30/2001,0.084896293
5/31/2001,0.070826034
6/30/2001,0.064549662
7/31/2001,0.065049397
8/31/2001,0.053617114
9/30/2001,0.043173219
10/31/2001,0.034138702
11/30/2001,0.016524493
12/31/2001,0.011662341
1/31/2002,0.008135498
2/28/2002,0.014355641
3/31/2002,0.021197057
4/30/2002,0.021482302
5/31/2002,0.020882902
6/30/2002,0.027803476
7/31/2002,0.026726945
8/31/2002,0.023789819
9/30/2002,0.021537743
10/31/2002,0.011058912
11/30/2002,-0.026566371
12/31/2002,-0.030214521
1/31/2003,-0.027354081
2/28/2003,-0.029433573
3/31/2003,-0.040071922
4/30/2003,-0.046361372
5/31/2003,-0.0489101
6/30/2003,-0.049923768
7/31/2003,-0.048533538
8/31/2003,-0.048810425
9/30/2003,-0.047159609
10/31/2003,-0.038694526
11/30/2003,-0.029925233
12/31/2003,-0.029658525
1/31/2004,-0.02616347
2/29/2004,-0.02106115
3/31/2004,-0.02350308
4/30/2004,-0.017529608
5/31/2004,-0.006264329
